Dependency=Source_Energie_Chauf;Dependency=Chauffage_Logement;Option=Electric Baseboard, 100% Efficiency;Option=Electric Furnace, 100% AFUE;Option=Electric Boiler, 100% AFUE;Option=ASHP, SEER 15, 8.5 HSPF;Option=Electric Wall Furnace, 100% AFUE;Option=Fuel Furnace, 80% AFUE;Option=Fuel Boiler, 80% AFUE;Option=Fuel Wall/Floor Furnace, 68% AFUE;Option=Fuel Boiler, 72% AFUE;Option=Fuel Wall/Floor Furnace, 60% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Baseboard, 100% Efficiency;Option=Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE;Option=Fuel Boiler, 72% AFUE & ASHP, SEER 15, 8.5 HSPF;Option=Fuel Boiler, 72% AFUE & Electric Furnace, 100% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Boiler, 100% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE.1;Option=Fuel Boiler, 72% AFUE & Fuel Furnace, 80% AFUE;Option=Fuel Boiler, 72% AFUE & Fuel Boiler, 80% AFUE;Option=Fuel Furnace, 80% AFUE & ASHP, SEER 15, 8.5 HSPF;Option=Electric Furnace, 100% AFUE & Fuel Furnace, 80% AFUE;Option=Electric Boiler, 100% AFUE & Fuel Boiler, 80% AFUE
Electricite;Plinthes électriques;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Electricite;Unités convecteurs, plancher ou plafond radiant;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Electricite;Thermopompe;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Electricite;Système central à air chaud;0;1;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Electricite;Système central à eau chaude;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Electricite;Fournaise murale ou de plancher;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Mazout;Système central à air chaud;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Mazout;Système central à eau chaude;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Mazout;Fournaise murale ou de plancher;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Gaz naturel;Système central à air chaud;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Gaz naturel;Système central à eau chaude;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Gaz naturel;Fournaise murale ou de plancher;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Bois;Fournaise ou poêle à bois;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Bois;Fournaise ou poêle à bois et Plinthes électriques;0;0;0;0;0;0;0;0;0;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Bois;Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0;0;0
Bois;Fournaise ou poêle à bois et Thermopompe;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0
Bois;Fournaise ou poêle à bois et Système central à air chaud;0;0;0;0;0;0;0;0;0;0;0;0;0;0.63;0.0;0.0;0.37;0.0;0;0;0
Bois;Fournaise ou poêle à bois et Système central à eau chaude;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.9;0.0;0.0;0.1;0;0;0
Bois;Fournaise ou poêle à bois et Fournaise murale ou de plancher;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.71;0.29;0.0;0;0;0
Bi-energie;Thermopompe;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1;0;0
Bi-energie;Système central à air chaud;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;1;0
Bi-energie;Système central à eau chaude;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;1
