Dependency=Type_Logement;Dependency=An_Construction;Option=1 ACH50;Option=2 ACH50;Option=3 ACH50;Option=4 ACH50;Option=5 ACH50;Option=6 ACH50;Option=7 ACH50;Option=8 ACH50;Option=10 ACH50;Option=15 ACH50;Option=20 ACH50;Option=25 ACH50;Option=30 ACH50;Option=40 ACH50;Option=50 ACH50
Duplex;< 1950;0;0;0.019;0.029;0.047;0.115;0.152;0.182;0.295;0.143;0.01;0.019;0;0;0
Duplex;[1950 - 1960);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Duplex;[1960 - 1970);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Duplex;[1970 - 1980);0;0;0;0.233;0.468;0.06;0.058;0.058;0.058;0.058;0;0;0;0;0
Duplex;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Duplex;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Duplex;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Duplex;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Duplex;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Triplex;< 1950;0;0;0.019;0.029;0.047;0.115;0.152;0.182;0.295;0.143;0.01;0.019;0;0;0
Triplex;[1950 - 1960);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Triplex;[1960 - 1970);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Triplex;[1970 - 1980);0;0;0;0.233;0.468;0.06;0.058;0.058;0.058;0.058;0;0;0;0;0
Triplex;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Triplex;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Triplex;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Triplex;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Triplex;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Collective;< 1950;0;0;0.019;0.029;0.047;0.115;0.152;0.182;0.295;0.143;0.01;0.019;0;0;0
Collective;[1950 - 1960);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Collective;[1960 - 1970);0.01;0.01;0.048;0.106;0.086;0.119;0.221;0.202;0.16;0.038;0;0;0;0;0
Collective;[1970 - 1980);0;0;0;0.233;0.468;0.06;0.058;0.058;0.058;0.058;0;0;0;0;0
Collective;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Collective;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Collective;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Collective;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Collective;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0;0;0;0;0;0;0;0;0
Maison individuelle;< 1950;0;0;0;0;0.02;0.16;0.09;0.21;0.35;0.12;0.05;0;0;0;0
Maison individuelle;[1950 - 1960);0;0;0;0.02;0.09;0.13;0.18;0.16;0.31;0.11;0;0;0;0;0
Maison individuelle;[1960 - 1970);0;0;0;0.02;0.09;0.13;0.18;0.16;0.31;0.11;0;0;0;0;0
Maison individuelle;[1970 - 1980);0;0;0.21;0.02;0.12;0.23;0.19;0.09;0.09;0.05;0;0;0;0;0
Maison individuelle;[1980 - 1990);0.01;0.04;0.13;0.14;0.21;0.18;0.14;0.08;0.04;0.01;0;0;0;0;0
Maison individuelle;[1990 - 2000);0.01;0.04;0.13;0.14;0.21;0.18;0.14;0.08;0.04;0.01;0;0;0;0;0
Maison individuelle;[2000 - 2010);0.01;0.04;0.13;0.14;0.21;0.18;0.14;0.08;0.04;0.01;0;0;0;0;0
Maison individuelle;[2010 - 2020);0.25;0.38;0.12;0.06;0.19;0;0;0;0;0;0;0;0;0;0
Maison individuelle;>= 2020;0.25;0.38;0.12;0.06;0.19;0;0;0;0;0;0;0;0;0;0
