Dependency=Type_Logement;Dependency=An_Construction;Option=Double, Clear, Metal, Air;Option=Double, Clear, Non-metal, Air;Option=Double, Clear, Thermal-Break, Air;Option=Double, Low-E, L-Gain;Option=Double, Low-E, Non-metal, Air, L-Gain;Option=Double, Low-E, Non-metal, Air, M-Gain;Option=Single, Clear, Metal;Option=Single, Clear, Non-metal;Option=Triple, Low-E, Non-metal, Air, L-Gain
Duplex;< 1950;0.2;0.64;0;0;0.09;0;0;0.03;0.03
Duplex;[1950 - 1960);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Duplex;[1960 - 1970);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Duplex;[1970 - 1980);0.24;0.35;0;0;0.35;0;0;0;0.06
Duplex;[1980 - 1990);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Duplex;[1990 - 2000);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Duplex;[2000 - 2010);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Duplex;[2010 - 2020);0;1;0;0;0;0;0;0;0
Duplex;>= 2020;0;1;0;0;0;0;0;0;0
Triplex;< 1950;0.2;0.64;0;0;0.09;0;0;0.03;0.03
Triplex;[1950 - 1960);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Triplex;[1960 - 1970);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Triplex;[1970 - 1980);0.24;0.35;0;0;0.35;0;0;0;0.06
Triplex;[1980 - 1990);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Triplex;[1990 - 2000);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Triplex;[2000 - 2010);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Triplex;[2010 - 2020);0;1;0;0;0;0;0;0;0
Triplex;>= 2020;0;1;0;0;0;0;0;0;0
Collective;< 1950;0.2;0.64;0;0;0.09;0;0;0.03;0.03
Collective;[1950 - 1960);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Collective;[1960 - 1970);0.34;0.47;0;0;0.1;0.01;0.01;0;0.06
Collective;[1970 - 1980);0.24;0.35;0;0;0.35;0;0;0;0.06
Collective;[1980 - 1990);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Collective;[1990 - 2000);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Collective;[2000 - 2010);0.07;0.6;0;0;0.2;0.07;0;0;0.07
Collective;[2010 - 2020);0;1;0;0;0;0;0;0;0
Collective;>= 2020;0;1;0;0;0;0;0;0;0
Maison individuelle;< 1950;0.07;0.64;0;0.01;0.13;0.04;0;0.08;0.03
Maison individuelle;[1950 - 1960);0.12;0.6;0;0.03;0.13;0.04;0.01;0.03;0.05
Maison individuelle;[1960 - 1970);0.12;0.6;0;0.03;0.13;0.04;0.01;0.03;0.05
Maison individuelle;[1970 - 1980);0.06;0.55;0;0.01;0.23;0.05;0.01;0.01;0.07
Maison individuelle;[1980 - 1990);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison individuelle;[1990 - 2000);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison individuelle;[2000 - 2010);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison individuelle;[2010 - 2020);0.02;0.42;0;0.02;0.33;0.09;0;0;0.12
Maison individuelle;>= 2020;0.02;0.42;0;0.02;0.33;0.09;0;0;0.12
Maison en rangee;< 1950;0.07;0.64;0;0.01;0.13;0.04;0;0.08;0.03
Maison en rangee;[1950 - 1960);0.12;0.6;0;0.03;0.13;0.04;0.01;0.03;0.05
Maison en rangee;[1960 - 1970);0.12;0.6;0;0.03;0.13;0.04;0.01;0.03;0.05
Maison en rangee;[1970 - 1980);0.06;0.55;0;0.01;0.23;0.05;0.01;0.01;0.07
Maison en rangee;[1980 - 1990);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison en rangee;[1990 - 2000);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison en rangee;[2000 - 2010);0.07;0.68;0;0.02;0.16;0.04;0.01;0;0.03
Maison en rangee;[2010 - 2020);0.02;0.42;0;0.02;0.33;0.09;0;0;0.12
Maison en rangee;>= 2020;0.02;0.42;0;0.02;0.33;0.09;0;0;0.12
