dimension,stratum,n,n_eff,mean_MEUI,ci95_low,ci95_high
All,All Calgary,34207,161,146.29111450559685,138.0904410357885,156.0561660285741
Type_Logement,Collective,17,12,146.11768689278546,114.1428907865044,181.6856383547408
Type_Logement,Duplex,2610,953,146.42630045005714,142.92061433475317,149.96550765577788
Type_Logement,Maison en rangee,2590,1416,150.2175568220839,147.0643593651525,153.40915103577004
Type_Logement,Maison individuelle,28972,19804,145.0752918291458,144.28802025725116,145.83206648316374
Type_Logement,Triplex,18,5,218.54122022621107,162.226550262737,266.6090196494623
An_Construction,< 1950,603,201,215.42956968125233,206.70114723239772,224.22862669171172
An_Construction,[1950 - 1960),1328,4,228.41895517880891,164.81340341803215,258.14139941822083
An_Construction,[1960 - 1970),1845,1532,156.62922639158555,154.33035010555244,159.10820634354334
An_Construction,[1970 - 1980),3795,20,166.6370513670552,153.96473097900608,180.19164269006174
An_Construction,[1980 - 1990),3847,27,163.414173051191,156.47699777022885,170.37686308233296
An_Construction,[1990 - 2000),5941,4907,139.44875484343734,138.42034281717258,140.54870597429192
An_Construction,[2000 - 2010),5086,24,133.45360939907678,128.60157208802713,140.38799321820485
An_Construction,[2010 - 2020),3087,13,96.82863904357897,86.92151493488535,106.47353282721672
An_Construction,>= 2020,8675,7,80.79522328428254,50.90594512865426,106.49928988712027
