FSA,N_a,n_local,n_eff,method,mean_MEUI,ci95_low,ci95_high,pre1980_share
AGG (hybrid),507840.0,36,,aggregate,143.59323556891877,140.32276937164082,146.83773521373934,
AGG (borrow-only),507840.0,36,,aggregate,144.8691815088335,143.28159753729915,146.39056269388368,
T3N,9985.0,1010,12.0,from-area,97.30799084967441,89.88530907943579,102.9933073867598,0.007956240676280457
T3R,11440.0,1048,37.0,from-area,97.93371372443706,90.26511780625981,105.38653772998762,0.026719229084537888
T3P,8690.0,2225,786.0,from-area,100.50542375035754,98.3412226017189,102.66627486273472,0.009237875288683603
T3M,19895.0,2399,167.0,from-area,101.07435655762107,97.2902513055088,104.59467904753487,0.006789036962534574
T2X,19310.0,2898,1530.0,from-area,111.76444409770897,110.00697227356225,113.56230010089412,0.11269061773067976
T3Z,3565.0,242,155.0,from-area,125.43749595688458,119.93034484781575,131.0173243829818,0.14504881450488144
T2Z,24720.0,1665,907.0,from-area,125.94506616623588,123.5942259185102,128.3035377653411,0.012944983818770227
T3L,10275.0,1535,759.0,from-area,128.99218759860838,126.75953553965707,131.26115302383928,0.025304136253041364
T3H,25550.0,1907,1238.0,from-area,130.15972712997512,127.7266499020158,132.70577241464014,0.0646171920892892
T2N,11865.0,549,11.0,from-area,135.4452877297387,113.82977417169977,153.77446589043078,0.5167364016736402
T2Y,20945.0,1557,38.0,from-area,136.16212955369323,133.95850510277072,138.91619137562503,0.02814885496183206
T3G,20585.0,1743,61.0,from-area,140.0715462166097,136.12034456743,143.56634177649204,0.12481787275376396
T3K,27115.0,1803,1283.0,from-area,140.2598293257973,137.9952488285461,142.4862739117464,0.11582441903356695
T3C,11670.0,334,11.0,from-area,142.88648147266304,127.82995141784751,151.64102006007514,0.590773173857326
T3J,21115.0,848,154.0,from-area,144.79188055456606,140.4727262191995,148.93047912253468,0.11195626337057285
T2G,9420.0,152,30.0,from-area,145.58089989024455,131.09659198566672,164.66000290362922,0.3235763704097924
T2J,17105.0,1246,703.0,from-area,146.7204563025688,143.22742617939775,150.37112928291182,0.771873165002936
T2R,11615.0,5,21.0,borrow,148.01007706295943,121.38966374122914,175.87496912038338,0.3330461008186127
T2L,6140.0,356,72.0,from-area,148.07562941574233,135.3009786637078,163.091308081938,0.7534693877551021
T3B,15965.0,1007,573.0,from-area,149.35221291541106,144.21792108555312,154.79966660976663,0.5896136795440152
T3A,18800.0,1577,1197.0,from-area,149.71074161160274,147.11484594449374,152.39626417343106,0.3530503978779841
T2M,8990.0,432,195.0,from-area,150.80180057974016,142.9302334277124,159.07601980854912,0.5691371681415929
T2C,8230.0,681,336.0,from-area,152.04388756472218,145.7336392189376,158.27062877037298,0.4199395770392749
T3E,18440.0,731,25.0,from-area,152.4601657932628,139.27288514544284,162.31952536507188,0.6078590785907859
T2H,4295.0,142,51.0,from-area,157.91873894488575,146.00775852856347,172.8249414174012,0.7337209302325581
T2P,8260.0,5,22.0,borrow,158.36101581518247,134.53450034755375,183.32313563519045,0.35804701627486435
T2W,16325.0,1181,73.0,from-area,162.94395804891755,155.01808214102846,171.95536444804205,0.6452205882352942
T1Y,17210.0,641,352.0,from-area,163.57706673921152,158.89794811881612,168.26498717895936,0.5934959349593496
T2A,21005.0,700,279.0,from-area,164.30243683324073,157.22405464067697,172.46453634940292,0.6692069540366754
T2K,14530.0,666,327.0,from-area,166.76716203897627,161.10745354151547,172.4189434334098,0.8205304857044436
T2T,15130.0,485,17.0,from-area,170.44687290243823,131.25154321908798,212.50620959083773,0.45079260237780716
T2B,9235.0,252,193.0,from-area,171.1689945985619,163.68551582010235,178.75181144303718,0.607471575527883
T2V,14795.0,606,6.0,from-area,173.10069995806,137.770981231863,196.63613356685113,0.7178535268309146
T2S,7965.0,161,11.0,from-area,175.3889428350088,127.39175473892854,214.81789810527792,0.5371747211895911
T3S,115.0,712,8.0,from-area,177.4929591836735,128.8158904109589,215.93765139380076,0.35
T2E,17545.0,530,10.0,from-area,201.62070963069098,145.39670234565187,249.37339976980985,0.5651302605210421
