id,Nom,Description,Valeurs,Dépendance (parents),Dépendance (enfants),Échantillonneur,Source
0.0,Territoire_HQ,Territoire HQ,"['Est et Nord du Québec', 'Laurentides', 'Montmorency', 'Montréal', 'Richelieu']",[],"['Region_Administrative', 'Source_Energie_Chauf']",Réseau Bayesien,EUEMR modifié
1.0,Region_Administrative,Zone du Québec,"['Bas-Saint-Laurent', 'Capitale-Nationale', 'Centre-du-Québec', 'Chaudière-Appalaches', 'Côte-Nord', 'Estrie', 'Gaspésie-Îles-de-la-Madeleine', 'Lanaudière', 'Laurentides', 'Laval', 'Mauricie', 'Montérégie', 'Montréal', 'Outaouais', 'Saguenay-Lac-Saint-Jean']",['Territoire_HQ'],"['Type_Logement', 'Nombre_Etages', 'Spa_Presence', 'Piscine_Presence', 'Vehicule_Presence']",Réseau Bayesien,EUEMR modifié
2.0,Type_Logement,De quel genre d'habitation s'agit-il?,"['Collective', 'Triplex', 'Duplex', 'Maison en rangee', 'Maison individuelle']",['Region_Administrative'],"['Type_Batiment', 'Nombre_Etages', 'Nombre_Pieces', 'Presence_SousSol', 'Presence_Garage', 'Mode_Occupation', 'An_Construction', 'Climatisation', 'Chauffage_Logement', 'Spa_Presence', 'Spa_Logement', 'Piscine_Presence', 'Piscine_Type', 'Vehicule_Presence', 'Vehicule_BornePresence', 'ChaufEau_Type', 'ChaufEau_Presence', 'Congelateur_Nombre', 'Refrigerateur_Nombre', 'LaveLinge_Type', 'SecheLinge_Presence', 'LaveVaisselle_Presence', 'Cuisiniere_Presence', 'Eclairage_LED', 'Infiltration', 'Geometry Stories', 'Geometry Building Number Units', 'Geometry Building Level', 'Infiltration', 'Windows', 'Insulation Wall', 'Insulation Ceiling', 'Geometry Foundation Type', 'Insulation Floor', 'Plug Load']",Réseau Bayesien,EUEMR modifié
3.0,Type_Batiment,De quel genre d'habitation s'agit-il?,"['Collective', 'Plex', 'Maison']",['Type_Logement'],['Source_Energie_Chauf'],Réseau Bayesien,EUEMR modifié
4.0,Nombre_Etages,Nombre d'étages habitables dans la résidence (incluant le sous-sol et le garage),"['Un étage', 'Deux étages', 'Trois étages et plus']","['Region_Administrative', 'Type_Logement']","['Nombre_Pieces', 'Presence_SousSol', 'Geometry Stories']",Réseau Bayesien,EUEMR modifié
5.0,Nombre_Pieces,"Nombre de pièces dans la résidence (incluant les pièces du sous-sol et le garage, excluant les salles de bain et les couloirs)","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15 et plus']","['Type_Logement', 'Nombre_Etages']","['Nombre_Personnes', 'Superficie_Totale']",Réseau Bayesien,EUEMR modifié
6.0,Superficie_Totale,Quelle est la superficie TOTALE habitable de votre résidence incluant le sous-sol et le garage?,"['[1 - 500)', '[500 - 1000)', '[1000 - 1500)', '[1500 - 2000)', '[2000 - 2500)', '[2500 - 3000)', '[3000 - 3500)', '[3500 - 4000)', '[4000 - 4500)', '[4500 - 5000)', '>= 5000']",['Nombre_Pieces'],[],Réseau Bayesien,EUEMR modifié
7.0,Presence_SousSol,Votre résidence comporte-elle un sous-sol ou vide sanitaire?,"['Sous sol 6 pied', 'Vide sanitaire moins 6 pieds', 'Aucun Sous-sol ou vide sanitaire', 'Sous-sol et vide sanitaire']","['Type_Logement', 'Nombre_Etages']",['Geometry Foundation Type'],Réseau Bayesien,EUEMR modifié
8.0,Nombre_Personnes,"En vous incluant, combien de personnes habitent ce logement?","['1', '2', '3', '4', '5 et plus']",['Nombre_Pieces'],"['Congelateur_Nombre', 'Refrigerateur_Nombre', 'LaveLinge_Type', 'SecheLinge_Presence', 'LaveVaisselle_Presence', 'Cuisiniere_Presence']",Réseau Bayesien,EUEMR modifié
9.0,Presence_Garage,Avez-vous un garage?,"['Pas de Garage', 'Garage non chauffé', 'Garage chauffé à électricité', 'Garage chauffé à autre source']",['Type_Logement'],[],Réseau Bayesien,EUEMR modifié
10.0,Mode_Occupation,Quel est votre lien avec ce logement ? En êtes-vous...,"['Locataire', 'Proprietaire']",['Type_Logement'],['Eclairage_LED'],Réseau Bayesien,EUEMR modifié
11.0,An_Construction,Année de construction de l'habitation,"['< 1950', '[1950 - 1960)', '[1960 - 1970)', '[1970 - 1980)', '[1980 - 1990)', '[1990 - 2000)', '[2000 - 2010)', '[2010 - 2020)', '>= 2020']",['Type_Logement'],"['Infiltration', 'An_ConstructionCode', 'Infiltration', 'Windows', 'Insulation Wall', 'Insulation Ceiling', 'Insulation Foundation Wall', 'Insulation Floor']",Réseau Bayesien,EUEMR modifié
12.0,An_ConstructionCode,Année de construction de l'habitation,"['< 1946', '[1946 - 1971)', '[1971 - 1986)', '[1986 - 2013)', '>= 2013']",['An_Construction'],['Source_Energie_Chauf'],Réseau Bayesien,EUEMR modifié
13.0,Climatisation,"Parmi les appareils suivants, lesquels utilisez-vous pour climatiser votre habitation? (Ensemble des mentions)","['Aucune', 'Fenêtre, mobile, portable', 'Murale', 'Centrale']","['Type_Logement', 'Chauffage_Logement']",['Cooling Setpoint'],Réseau Bayesien,EUEMR modifié
14.0,Source_Energie_Chauf,Principale source d'énergie utilisée pour le chauffage de l'habitation,"['Electricite', 'Mazout', 'Gaz naturel', 'Bi-energie', 'Bois']","['Territoire_HQ', 'Type_Batiment', 'An_ConstructionCode']","['ChaufEau_ChaufType', 'Cuisiniere_Energie', 'Chauffage_Logement', 'HVAC Heating Efficiency']",Réseau Bayesien,EUEMR modifié
