PONDNew,POND1,POND2x,POND1_POP,POND2x_POP,Type_Logement,Type_Batiment,Mode_Occupation,Consommation_Elec_An,An_Construction,An_ConstructionCode,Source_Energie_Chauf,Territoire_HQ,Region_Administrative,Nombre_Pieces,Nombre_Etages,Superficie_Totale,Presence_SousSol,Nombre_Personnes,Presence_Garage,Chauffage_Logement,Nombre_Refrigerateur,Nombre_Logement,Climatisation,Spa_Presence,Spa_Logement,Spa_Saison,Spa_Utilisation_SaisonChaude,Spa_Utilisation_SaisonFroide,Piscine_Presence,Piscine_Type,Piscine_Minuterie,Piscine_Toile,Piscine_Chauffee,Piscine_ChaufType,Vehicule_Presence,Vehicule_BornePresence,ChaufEau_Presence,ChaufEau_ChaufType,ChaufEau_Type,Congelateur_Nombre,Refrigerateur_Nombre,LaveLinge_Type,SecheLinge_Presence,LaveVaisselle_Presence,Cuisiniere_Presence,Cuisiniere_Energie,Eclairage_LED,Vintage,Territoire,Typo,Source
,0.7495084,,279.95355,,Collective,Collective,Locataire,[15000 - 20000),,,Electricite,Laurentides,Outaouais,7,Un étage,,Aucun Sous-sol ou vide sanitaire,5 et plus,Pas de Garage,,1,4,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,Aucun,1,Frontale,Oui,Non,Oui,Ne sait pas,Ne sait pas,,1_Laurentides,immeuble,elec
1.3475854999999999,1.2124671,,452.87612,,Maison individuelle,Maison,Proprietaire,[20000 - 25000),[1960 - 1970),[1946 - 1971),Electricite,Laurentides,Laurentides,,,,,1,Pas de Garage,Plinthes électriques,1,.,Aucune,Non,Aucun,,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,1,1,Frontale,Oui,Oui,Oui,Electrique,0%,1946-70,1_Laurentides,individuelle,elec
,1.1542858,,431.14445,,Duplex,Plex,Locataire,[10000 - 15000),,,Electricite,Montréal,Montréal,,Un étage,,Aucun Sous-sol ou vide sanitaire,,Pas de Garage,Plinthes électriques,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,Aucun,1,Frontale,Oui,Oui,Oui,Electrique,0%,,0_Montreal,duplex,elec
,1.2213583,,456.19714,,Collective,Collective,Locataire,,,,Electricite,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,5 et plus,Pas de Garage,Plinthes électriques,1,14,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Ne sait pas,,0_Montreal,immeuble,elec
1.169911213740458,1.6972066,,633.93419,,Collective,Collective,Locataire,,[1990 - 2000),[1986 - 2013),Electricite,Montmorency,Capitale-Nationale,2,Un étage,,Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,Plinthes électriques,1,12,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,Aucun,1,Traditionnelle,Oui,Oui,Oui,Electrique,1 à 24 %,1986-2012,2_Montmorency,immeuble,elec
1.3475854999999999,0.9765947,,364.77395,,Maison individuelle,Maison,Proprietaire,,[1960 - 1970),[1946 - 1971),Electricite,Laurentides,Outaouais,11,Trois étages et plus,[3000 - 3500),Sous sol 6 pied,4,Pas de Garage,Plinthes électriques,2,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,Ne sait pas,1,2,Traditionnelle,Oui,Non,Oui,Electrique,1 à 24 %,1946-70,1_Laurentides,individuelle,elec
0.9482798888888888,1.2610556,,471.02471,,Triplex,Plex,Locataire,,,,Electricite,Montmorency,Mauricie,5,Un étage,,Aucun Sous-sol ou vide sanitaire,3,Pas de Garage,Plinthes électriques,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Aucun,Aucun,Non definit,Aucun,1,Traditionnelle,Oui,Non,Oui,Electrique,Ne sait pas,1946-70,2_Montmorency,triplex,elec
0.415966956284153,0.2898086,,108.2482,,Maison individuelle,Maison,Proprietaire,[30000 - 35000),[1970 - 1980),[1971 - 1986),Electricite,Est et Nord du Québec,Côte-Nord,5,Deux étages,[2000 - 2500),Sous sol 6 pied,2,Pas de Garage,"Unités convecteurs, plancher ou plafond radiant",1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,1,1,Aucun,Oui,Non,Oui,Electrique,Ne sait pas,1971-85,3_Nord-Est,individuelle,elec
0.6377410227272727,2.3318934,1.4715211,871.0,124.01032,Maison individuelle,Maison,Proprietaire,,>= 2020,>= 2013,Electricite,Laurentides,Laurentides,4,Deux étages,[1000 - 1500),Aucun Sous-sol ou vide sanitaire,4,Garage chauffé à électricité,Plinthes électriques,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,Aucun,1,Traditionnelle,Oui,Oui,Oui,Electrique,Plus de 50 %,post-2012,1_Laurentides,individuelle,elec
,,0.849282,,71.572021,Collective,Collective,Locataire,,[2010 - 2020),>= 2013,Electricite,Montréal,Montréal,4,Un étage,[1000 - 1500),Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,Plinthes électriques,1,100,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Ne sait pas,Ne sait pas,Aucun,1,Traditionnelle,Oui,Oui,Oui,Electrique,Plus de 50 %,post-2012,0_Montreal,immeuble,elec
