Dependency=Type_Logement;Dependency=Nombre_Etages;Option=1;Option=2;Option=3;Option=4;Option=5;Option=6;Option=7;Option=8;Option=9;Option=10;Option=11;Option=12;Option=13;Option=14;Option=15;Option=20;Option=21;Option=35
Duplex;Un étage;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Duplex;Deux étages;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Duplex;Trois étages et plus;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;Un étage;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;Deux étages;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;Trois étages et plus;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Collective;Un étage;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555;0.05555555555555555
Collective;Deux étages;0.0;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705;0.058823529411764705
Collective;Trois étages et plus;0.0;0.0;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625
Maison individuelle;Un étage;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;Deux étages;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;Trois étages et plus;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;Un étage;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;Deux étages;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;Trois étages et plus;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
