Dependency=Source_Energie_Chauf;Dependency=Chauffage_Logement;Option=Electric Baseboard, 100% Efficiency;Option=Electric Furnace, 100% AFUE;Option=Electric Boiler, 100% AFUE;Option=ASHP, SEER 10, 6.2 HSPF;Option=ASHP, SEER 13, 7.7 HSPF;Option=ASHP, SEER 15, 8.5 HSPF;Option=Electric Wall Furnace, 100% AFUE;Option=Fuel Furnace, 80% AFUE;Option=Fuel Boiler, 80% AFUE;Option=Fuel Wall/Floor Furnace, 68% AFUE;Option=Fuel Boiler, 72% AFUE;Option=Fuel Wall/Floor Furnace, 60% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Baseboard, 100% Efficiency;Option=Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE;Option=Fuel Boiler, 72% AFUE & ASHP, SEER 10, 6.2 HSPF;Option=Fuel Boiler, 72% AFUE & ASHP, SEER 13, 7.7 HSPF;Option=Fuel Boiler, 72% AFUE & ASHP, SEER 15, 8.5 HSPF;Option=Fuel Boiler, 72% AFUE & Electric Furnace, 100% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Boiler, 100% AFUE;Option=Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE.1;Option=Fuel Boiler, 72% AFUE & Fuel Furnace, 80% AFUE;Option=Fuel Boiler, 72% AFUE & Fuel Boiler, 80% AFUE;Option=Fuel Furnace, 80% AFUE & ASHP, SEER 10, 6.2 HSPF;Option=Fuel Furnace, 80% AFUE & ASHP, SEER 13, 7.7 HSPF;Option=Fuel Furnace, 80% AFUE & ASHP, SEER 15, 8.5 HSPF;Option=Electric Furnace, 100% AFUE & Fuel Furnace, 80% AFUE;Option=Electric Boiler, 100% AFUE & Fuel Boiler, 80% AFUE;Option=GSHP, EER 16.6, COP 3.6;Option=GSHP, EER 18.6, COP 3.8;Option=GSHP, EER 20.2, COP 4.2;Option=GSHP, EER 20.5, COP 4.0;Option=GSHP, EER 30.9, COP 4.4;Option=MSHP, SEER 14.5, 8.2 HSPF;Option=MSHP, SEER 17, 9.5 HSPF;Option=MSHP, SEER 25, 12.7 HSPF;Option=MSHP, SEER 29.3, 14 HSPF;Option=MSHP, SEER 33, 13.3 HSPF;Option=MSHP, SEER2 22.7, 10.3 HSPF2, Typical Cold Climate;Option=Fuel Boiler, 76% AFUE;Option=Fuel Boiler, 82% AFUE;Option=Fuel Boiler, 85% AFUE;Option=Fuel Boiler, 90% AFUE;Option=Fuel Boiler, 96% AFUE;Option=Fuel Furnace, 72% AFUE;Option=Fuel Furnace, 76% AFUE;Option=Fuel Furnace, 85% AFUE;Option=Fuel Furnace, 90% AFUE;Option=Fuel Furnace, 92.5% AFUE;Option=Fuel Furnace, 96% AFUE
Electricite;Plinthes électriques;1;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Unités convecteurs, plancher ou plafond radiant;0;0;0;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe et Système central à air chaud;0;0;0;0.1;0.8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe et Système central à eau chaude;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.1;0.8;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe géothermique seule;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe géothermique et Plinthes électriques;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe géothermique et Fournaise;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe murale;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.125;0.125;0.125;0.125;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe murale et Plinthes électriques;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.125;0.125;0.125;0.125;0;0;0;0;0;0;0;0;0;0;0
Electricite;Thermopompe murale et Fournaise;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.125;0.125;0.125;0.125;0;0;0;0;0;0;0;0;0;0;0
