Dependency=Type_Logement;Dependency=An_Construction;Dependency=Geometry Foundation Type;Option=None;Option=Uninsulated;Option=Ceiling R-13;Option=Ceiling R-19;Option=Ceiling R-30
Duplex;< 1950;Ambient;0;1.0;0.0;0.0;0.0
Duplex;[1950 - 1960);Ambient;0;1.0;0.0;0.0;0.0
Duplex;[1960 - 1970);Ambient;0;1.0;0.0;0.0;0.0
Duplex;[1970 - 1980);Ambient;0;1.0;0.0;0.0;0.0
Duplex;[1980 - 1990);Ambient;0;0.4891666666666668;0.19750000000000004;0.31333333333333335;0.0
Duplex;[1990 - 2000);Ambient;0;0.4433333333333334;0.19333333333333333;0.36333333333333334;0.0
Duplex;[2000 - 2010);Ambient;0;0.0;0.25;0.25;0.5
Duplex;[2010 - 2020);Ambient;0;0.0;0.25;0.25;0.5
Duplex;>= 2020;Ambient;0;0.0;0.25;0.25;0.5
Triplex;< 1950;Ambient;0;1.0;0.0;0.0;0.0
Triplex;[1950 - 1960);Ambient;0;1.0;0.0;0.0;0.0
Triplex;[1960 - 1970);Ambient;0;1.0;0.0;0.0;0.0
Triplex;[1970 - 1980);Ambient;0;1.0;0.0;0.0;0.0
Triplex;[1980 - 1990);Ambient;0;0.4891666666666668;0.19750000000000004;0.31333333333333335;0.0
Triplex;[1990 - 2000);Ambient;0;0.4433333333333334;0.19333333333333333;0.36333333333333334;0.0
Triplex;[2000 - 2010);Ambient;0;0.0;0.25;0.25;0.5
Triplex;[2010 - 2020);Ambient;0;0.0;0.25;0.25;0.5
Triplex;>= 2020;Ambient;0;0.0;0.25;0.25;0.5
Collective;< 1950;Ambient;0;1.0;0.0;0.0;0.0
Collective;[1950 - 1960);Ambient;0;1.0;0.0;0.0;0.0
Collective;[1960 - 1970);Ambient;0;1.0;0.0;0.0;0.0
Collective;[1970 - 1980);Ambient;0;1.0;0.0;0.0;0.0
Collective;[1980 - 1990);Ambient;0;0.4891666666666668;0.19750000000000004;0.31333333333333335;0.0
Collective;[1990 - 2000);Ambient;0;0.4433333333333334;0.19333333333333333;0.36333333333333334;0.0
Collective;[2000 - 2010);Ambient;0;0.0;0.25;0.25;0.5
Collective;[2010 - 2020);Ambient;0;0.0;0.25;0.25;0.5
Collective;>= 2020;Ambient;0;0.0;0.25;0.25;0.5
Maison individuelle;< 1950;Ambient;0;1.0;0.0;0.0;0.0
Maison individuelle;[1950 - 1960);Ambient;0;1.0;0.0;0.0;0.0
Maison individuelle;[1960 - 1970);Ambient;0;1.0;0.0;0.0;0.0
Maison individuelle;[1970 - 1980);Ambient;0;1.0;0.0;0.0;0.0
Maison individuelle;[1980 - 1990);Ambient;0;0.4891666666666668;0.19750000000000004;0.31333333333333335;0.0
Maison individuelle;[1990 - 2000);Ambient;0;0.4433333333333334;0.19333333333333333;0.36333333333333334;0.0
Maison individuelle;[2000 - 2010);Ambient;0;0.0;0.25;0.25;0.5
Maison individuelle;[2010 - 2020);Ambient;0;0.0;0.25;0.25;0.5
Maison individuelle;>= 2020;Ambient;0;0.0;0.25;0.25;0.5
Maison en rangee;< 1950;Ambient;0;1.0;0.0;0.0;0.0
