Dependency=An_Construction;Dependency=Type_Logement;Dependency=Geometry Foundation Type;Option=None;Option=Uninsulated;Option=2ft R5 Under, Horizontal;Option=2ft R10 Under, Horizontal;Option=4ft R5 Under, Horizontal;Option=2ft R5 Perimeter, Vertical;Option=2ft R10 Perimeter, Vertical;Option=R10 Whole Slab, Horizontal
< 1950;Collective;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Collective;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Collective;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
< 1950;Collective;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Collective;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Collective;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Duplex;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison en rangee;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Maison individuelle;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
< 1950;Triplex;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Collective;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Collective;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Collective;Slab;0;0.248338870431893;0.100498338870431;0.13704318936877;0;0.106312292358803;0.407807308970099;0
>= 2020;Collective;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Collective;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Collective;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Duplex;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Duplex;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Duplex;Slab;0;0.248338870431893;0.100498338870431;0.13704318936877;0;0.106312292358803;0.407807308970099;0
>= 2020;Duplex;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Duplex;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Duplex;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison en rangee;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison en rangee;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison en rangee;Slab;0;0.248338870431893;0.100498338870431;0.13704318936877;0;0.106312292358803;0.407807308970099;0
>= 2020;Maison en rangee;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison en rangee;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison en rangee;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison individuelle;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison individuelle;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison individuelle;Slab;0;0.248338870431893;0.100498338870431;0.13704318936877;0;0.106312292358803;0.407807308970099;0
>= 2020;Maison individuelle;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison individuelle;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Maison individuelle;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Triplex;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Triplex;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Triplex;Slab;0;0.248338870431893;0.100498338870431;0.13704318936877;0;0.106312292358803;0.407807308970099;0
>= 2020;Triplex;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Triplex;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
>= 2020;Triplex;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Ambient;1;0.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Heated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Slab;0;1.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Unheated Basement;1;0.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Unvented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
[1950 - 1960);Collective;Vented Crawlspace;1;0.0;0.0;0.0;0;0.0;0.0;0
