Dependency=Type_Logement;Dependency=An_Construction;Option=QC_WoodStud-R14.5;Option=QC_WoodStud-R14;Option=QC_WoodStud-R17.2;Option=QC_WoodStud-R20.7;Option=QC_WoodStud-R24.5;Option=QC_WoodStud-R12.2;Option=QC_WoodStud-R12.6;Option=QC_WoodStud-R18.9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;source_count;source_weight;sampling_probability
Duplex;< 1950;0;0;0;0;0;1;0;0;;;;;;;;;;
Duplex;[1950 - 1960);0;0;0;0;0;0;1;0;;;;;;;;;;
Duplex;[1960 - 1970);0;0;0;0;0;0;1;0;;;;;;;;;;
Duplex;[1970 - 1980);0;0;0;0;0;0;1;0;;;;;;;;;;
Duplex;[1980 - 1990);0;0;0;0;0;0;0;1;;;;;;;;;;
Duplex;[1990 - 2000);0;0;0;0;0;0;0;1;;;;;;;;;;
Duplex;[2000 - 2010);0;0;0;0;0;0;0;1;;;;;;;;;;
Duplex;[2010 - 2020);0;0;0;0;1;0;0;0;;;;;;;;;;
Duplex;>= 2020;0;0;0;0;1;0;0;0;;;;;;;;;;
Triplex;< 1950;0;0;0;0;0;1;0;0;;;;;;;;;;
Triplex;[1950 - 1960);0;0;0;0;0;0;1;0;;;;;;;;;;
Triplex;[1960 - 1970);0;0;0;0;0;0;1;0;;;;;;;;;;
Triplex;[1970 - 1980);0;0;0;0;0;0;1;0;;;;;;;;;;
Triplex;[1980 - 1990);0;0;0;0;0;0;0;1;;;;;;;;;;
Triplex;[1990 - 2000);0;0;0;0;0;0;0;1;;;;;;;;;;
Triplex;[2000 - 2010);0;0;0;0;0;0;0;1;;;;;;;;;;
Triplex;[2010 - 2020);0;0;0;0;1;0;0;0;;;;;;;;;;
Triplex;>= 2020;0;0;0;0;1;0;0;0;;;;;;;;;;
Collective;< 1950;0;0;0;0;0;1;0;0;;;;;;;;;;
Collective;[1950 - 1960);0;0;0;0;0;0;1;0;;;;;;;;;;
Collective;[1960 - 1970);0;0;0;0;0;0;1;0;;;;;;;;;;
Collective;[1970 - 1980);0;0;0;0;0;0;1;0;;;;;;;;;;
Collective;[1980 - 1990);0;0;0;0;0;0;0;1;;;;;;;;;;
Collective;[1990 - 2000);0;0;0;0;0;0;0;1;;;;;;;;;;
Collective;[2000 - 2010);0;0;0;0;0;0;0;1;;;;;;;;;;
Collective;[2010 - 2020);0;0;0;0;1;0;0;0;;;;;;;;;;
Collective;>= 2020;0;0;0;0;1;0;0;0;;;;;;;;;;
Maison individuelle;< 1950;1;0;0;0;0;0;0;0;;;;;;;;;;
Maison individuelle;[1950 - 1960);0;1;0;0;0;0;0;0;;;;;;;;;;
Maison individuelle;[1960 - 1970);0;1;0;0;0;0;0;0;;;;;;;;;;
Maison individuelle;[1970 - 1980);0;0;1;0;0;0;0;0;;;;;;;;;;
Maison individuelle;[1980 - 1990);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison individuelle;[1990 - 2000);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison individuelle;[2000 - 2010);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison individuelle;[2010 - 2020);0;0;0;0;1;0;0;0;;;;;;;;;;
Maison individuelle;>= 2020;0;0;0;0;1;0;0;0;;;;;;;;;;
Maison en rangee;< 1950;1;0;0;0;0;0;0;0;;;;;;;;;;
Maison en rangee;[1950 - 1960);0;1;0;0;0;0;0;0;;;;;;;;;;
Maison en rangee;[1960 - 1970);0;1;0;0;0;0;0;0;;;;;;;;;;
Maison en rangee;[1970 - 1980);0;0;1;0;0;0;0;0;;;;;;;;;;
Maison en rangee;[1980 - 1990);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison en rangee;[1990 - 2000);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison en rangee;[2000 - 2010);0;0;0;1;0;0;0;0;;;;;;;;;;
Maison en rangee;[2010 - 2020);0;0;0;0;1;0;0;0;;;;;;;;;;
Maison en rangee;>= 2020;0;0;0;0;1;0;0;0;;;;;;;;;;
