Dependency=Chauffage_Logement;Option=Autre;Option=Baisse de nuit uniquement;Option=Baisse de soir et de nuit;Option=Baisse de soir et de nuit uniquement;Option=Constant;Option=Hausse de soir et baisse de nuit;Option=Hausse de soir uniquement
Plinthes électriques;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Unités convecteurs, plancher ou plafond radiant;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Thermopompe murale;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Thermopompe murale et Plinthes électriques;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Fournaise murale ou de plancher;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Fournaise ou poêle à bois et Plinthes électriques;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Fournaise ou poêle à bois et Thermopompe murale;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Fournaise ou poêle à bois et Fournaise murale ou de plancher;0.0715967317546046;0.310483312560587;0.055947929649633;0.0840603794488298;0.305913308406037;0.0859991690901537;0.0859991690901537
Thermopompe et Système central à air chaud;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Thermopompe et Système central à eau chaude;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Thermopompe géothermique seule;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Thermopompe géothermique et Plinthes électriques;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Thermopompe géothermique et Fournaise;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Thermopompe murale et Fournaise;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Système central à air chaud;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Système central à eau chaude;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Fournaise ou poêle à bois;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Fournaise ou poêle à bois et Système central à air chaud;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
Fournaise ou poêle à bois et Système central à eau chaude;0.0448061080972473;0.373518183644765;0.060478199718706;0.107293550331525;0.238497086598352;0.103475989551938;0.0719308820574643
