;Dependance;Option
geometry attic type;[];['Vented Attic']
geometry_building_num_units;['Type_Logement'];['4', '14', '12', '18', '24', '6', '7', '8', '50', '28', '60', '20', '15', '17', '13', '100', '30', '49', '32', '16', '5', '27', '75', '10', '35', '19', '25', '44', '130', '42', '120', '36', '22', '9', '64', '26', '80', '46', '38', '48', '52', '92', '58', '40', '70', '200', '90', '325', '23', '11', '56', '187', '66', '86', '180', '45', '150', '110', '29', '160', '43', '350', '140', '96', '53', '72', '65', '215', '108', '39', '85', '135', '103', '250', '76', '123', '82', '132', '34', '21', '84', '54', '71', '77', '91', '55', '181', '202', '121', '47', '240', '144', '99', '199', '79', '68', '62', '88', '152', '170', '117', '300', '128', '33', '193', '83', '63', '260', '268', '149', '194', '51', '73', '321', '125', '69', '220', '141', '137', '101', '1', '2', '3']
Geometry Wall Exterior Finish;[];['None']
HVAC Has Shared System;[];['None']
HVAC Heating Efficiency;['Source_Energie_Chauf', 'Chauffage_Logement'];['Electric Baseboard, 100% Efficiency', 'Electric Furnace, 100% AFUE', 'Electric Boiler, 100% AFUE', 'ASHP, SEER 15, 8.5 HSPF', 'Electric Wall Furnace, 100% AFUE', 'Fuel Furnace, 80% AFUE', 'Fuel Boiler, 80% AFUE', 'Fuel Wall/Floor Furnace, 68% AFUE', 'Fuel Boiler, 72% AFUE', 'Fuel Wall/Floor Furnace, 60% AFUE', 'Fuel Boiler, 72% AFUE & Electric Baseboard, 100% Efficiency', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Fuel Boiler, 72% AFUE & Electric Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Boiler, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE.1', 'Fuel Boiler, 72% AFUE & Fuel Furnace, 80% AFUE', 'Fuel Boiler, 72% AFUE & Fuel Boiler, 80% AFUE', 'Fuel Furnace, 80% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Electric Furnace, 100% AFUE & Fuel Furnace, 80% AFUE', 'Electric Boiler, 100% AFUE & Fuel Boiler, 80% AFUE']
Infiltration;['Type_Logement', 'An_Construction'];['1 ACH50', '2 ACH50', '3 ACH50', '4 ACH50', '5 ACH50', '6 ACH50', '7 ACH50', '8 ACH50', '10 ACH50', '15 ACH50', '20 ACH50', '25 ACH50', '30 ACH50', '40 ACH50', '50 ACH50']
Insulation Ceiling;['Type_Logement', 'An_Construction'];['QC_R19.6', 'QC_R24.6', 'QC_R27.3', 'QC_R30.9', 'QC_R41', 'QC_R12.5', 'QC_R18.3', 'QC_R29.8']
Insulation Foundation Wall;['An_Construction'];['QC_Wall-R10.1, interior', 'QC_Wall-R12, interior', 'QC_Wall-R14.4, interior', 'QC_Wall-R17.1, interior', 'QC_Wall-R17, interior']
Insulation Wall;['Type_Logement', 'An_Construction'];['QC_WoodStud-R14.5', 'QC_WoodStud-R14', 'QC_WoodStud-R17.2', 'QC_WoodStud-R20.7', 'QC_WoodStud-R24.5', 'QC_WoodStud-R12.2', 'QC_WoodStud-R12.6', 'QC_WoodStud-R18.9']
Windows;['Type_Logement', 'An_Construction'];['Double, Clear, Metal, Air', 'Double, Clear, Non-metal, Air', 'Double, Clear, Thermal-Break, Air', 'Double, Low-E, L-Gain', 'Double, Low-E, Non-metal, Air, L-Gain', 'Double, Low-E, Non-metal, Air, M-Gain', 'Single, Clear, Metal', 'Single, Clear, Non-metal', 'Triple, Low-E, Non-metal, Air, L-Gain']
