FSA,year,n_grid_points,method,mean_temp_C,hdd18,cdd18,tmin,tmax
T1Y,2018,1,nearest,3.63,5463.8,219.0,-29.0,36.3
T1Y,2019,1,nearest,3.14,5554.1,128.57,-29.8,30.2
T1Y,2020,1,nearest,4.05,5258.0,151.28,-31.3,30.8
T1Y,2021,1,nearest,4.72,5127.68,282.07,-33.3,34.7
T1Y,2022,1,nearest,4.51,5166.34,241.75,-33.6,31.0
T1Y,2023,1,nearest,6.04,4651.8,287.1,-29.3,33.6
T1Y,2024,1,nearest,4.68,5107.85,233.15,-39.3,32.9
T1Y,2025,1,nearest,5.07,4901.15,183.42,-25.7,29.6
T2A,2018,2,contains,3.68,5447.81,222.02,-28.95,36.4
T2A,2019,2,contains,3.19,5536.53,131.26,-29.75,30.25
T2A,2020,2,contains,4.1,5240.02,154.01,-31.2,30.9
T2A,2021,2,contains,4.79,5108.93,285.78,-33.25,34.8
T2A,2022,2,contains,4.56,5149.74,245.45,-33.6,31.05
T2A,2023,2,contains,6.1,4635.57,291.04,-29.2,33.65
T2A,2024,2,contains,4.73,5091.62,236.21,-39.2,32.95
T2A,2025,2,contains,5.13,4883.79,186.16,-25.7,29.6
T2B,2018,1,contains,3.87,5388.47,231.47,-28.8,36.6
T2B,2019,1,contains,3.38,5474.5,138.84,-29.6,30.5
T2B,2020,1,contains,4.3,5178.02,162.35,-31.0,31.1
T2B,2021,1,contains,4.98,5048.38,296.67,-33.0,35.0
T2B,2022,1,contains,4.75,5090.83,256.15,-33.4,31.2
T2B,2023,1,contains,6.29,4577.9,302.97,-29.0,33.9
T2B,2024,1,contains,4.92,5031.89,245.94,-39.0,33.2
T2B,2025,1,contains,5.32,4823.31,195.38,-25.5,29.8
T2C,2018,2,contains,3.99,5350.52,237.49,-28.7,36.7
T2C,2019,2,contains,3.5,5437.57,145.23,-29.55,30.7
T2C,2020,2,contains,4.44,5134.42,169.83,-30.6,31.25
T2C,2021,2,contains,5.13,5003.83,306.36,-32.7,35.2
T2C,2022,2,contains,4.87,5056.95,264.55,-33.25,31.45
T2C,2023,2,contains,6.39,4548.05,310.7,-28.9,34.0
T2C,2024,2,contains,5.04,4995.8,252.2,-38.85,33.25
T2C,2025,2,contains,5.44,4785.55,201.99,-25.35,29.9
T2E,2018,9,contains,3.8,5407.18,224.38,-28.62,36.37
T2E,2019,9,contains,3.3,5497.19,133.35,-29.4,30.32
T2E,2020,9,contains,4.22,5201.31,158.71,-30.98,30.98
T2E,2021,9,contains,4.88,5077.39,289.36,-33.02,34.96
T2E,2022,9,contains,4.66,5116.35,247.54,-33.12,31.2
T2E,2023,9,contains,6.18,4607.83,293.75,-29.6,33.63
T2E,2024,9,contains,4.85,5052.61,238.68,-39.06,32.9
T2E,2025,9,contains,5.24,4848.06,190.54,-25.56,29.63
T2G,2018,6,contains,3.98,5350.95,233.33,-28.5,36.57
T2G,2019,6,contains,3.49,5438.25,141.05,-29.3,30.58
T2G,2020,6,contains,4.41,5141.48,167.16,-30.72,31.17
T2G,2021,6,contains,5.07,5018.37,300.23,-32.77,35.18
T2G,2022,6,contains,4.84,5060.87,258.03,-32.98,31.37
T2G,2023,6,contains,6.36,4554.49,305.2,-29.4,33.82
T2G,2024,6,contains,5.03,4996.53,247.93,-38.85,33.08
T2G,2025,6,contains,5.42,4790.81,199.47,-25.35,29.8
T2H,2018,3,contains,4.02,5336.43,232.71,-28.4,36.5
T2H,2019,3,contains,3.53,5427.07,143.73,-29.27,30.7
T2H,2020,3,contains,4.47,5122.62,171.34,-30.3,31.2
T2H,2021,3,contains,5.14,4999.29,304.45,-32.43,35.37
T2H,2022,3,contains,4.86,5055.56,259.77,-33.0,31.4
T2H,2023,3,contains,6.35,4556.01,304.94,-29.63,33.83
T2H,2024,3,contains,5.06,4985.31,247.97,-38.77,32.97
T2H,2025,3,contains,5.46,4779.25,201.55,-25.4,29.73
T2J,2018,1,nearest,4.08,5319.06,239.36,-28.4,36.7
T2J,2019,1,nearest,3.59,5407.01,147.7,-29.3,30.8
T2J,2020,1,nearest,4.53,5102.8,174.24,-30.4,31.3
T2J,2021,1,nearest,5.21,4976.87,310.12,-32.5,35.4
T2J,2022,1,nearest,4.95,5031.2,266.84,-33.0,31.5
T2J,2023,1,nearest,6.45,4527.69,313.2,-29.2,34.0
T2J,2024,1,nearest,5.13,4966.1,254.4,-38.7,33.2
T2J,2025,1,nearest,5.53,4757.58,205.84,-25.3,29.9
T2K,2018,3,contains,3.6,5467.71,211.05,-28.67,36.03
T2K,2019,3,contains,3.1,5563.09,124.59,-29.37,30.13
T2K,2020,3,contains,4.03,5264.87,150.87,-31.03,30.73
T2K,2021,3,contains,4.66,5144.32,276.42,-33.03,34.8
T2K,2022,3,contains,4.44,5184.29,233.13,-33.1,31.0
T2K,2023,3,contains,5.94,4680.41,277.12,-30.33,33.37
T2K,2024,3,contains,4.64,5115.75,225.53,-39.2,32.47
T2K,2025,3,contains,5.03,4914.16,180.12,-25.8,29.33
T2L,2018,2,contains,3.62,5459.55,209.4,-28.6,35.9
T2L,2019,2,contains,3.12,5556.35,124.55,-29.25,30.2
T2L,2020,2,contains,4.05,5256.46,152.37,-30.8,30.7
T2L,2021,2,contains,4.68,5139.35,276.34,-32.8,34.9
T2L,2022,2,contains,4.44,5181.99,231.76,-33.1,31.0
T2L,2023,2,contains,5.92,4683.26,275.02,-30.75,33.3
T2L,2024,2,contains,4.65,5109.4,224.06,-39.1,32.35
T2L,2025,2,contains,5.04,4909.26,180.45,-25.8,29.25
T2M,2018,2,contains,3.83,5394.44,222.75,-28.45,36.25
T2M,2019,2,contains,3.34,5486.14,133.49,-29.2,30.4
T2M,2020,2,contains,4.26,5188.4,160.74,-30.75,30.95
T2M,2021,2,contains,4.91,5069.17,289.59,-32.8,35.05
T2M,2022,2,contains,4.67,5110.27,246.1,-32.9,31.25
T2M,2023,2,contains,6.18,4607.75,291.79,-30.0,33.6
T2M,2024,2,contains,4.87,5042.11,237.33,-38.95,32.75
T2M,2025,2,contains,5.27,4839.26,191.28,-25.55,29.55
T2N,2018,4,contains,3.84,5387.0,219.84,-28.32,36.12
T2N,2019,4,contains,3.35,5480.86,133.08,-29.02,30.52
T2N,2020,4,contains,4.29,5180.84,162.31,-30.55,30.95
T2N,2021,4,contains,4.91,5066.17,288.9,-32.55,35.15
T2N,2022,4,contains,4.66,5111.03,243.54,-32.88,31.25
T2N,2023,4,contains,6.15,4615.26,288.37,-30.53,33.55
T2N,2024,4,contains,4.88,5037.09,234.9,-38.88,32.53
T2N,2025,4,contains,5.27,4836.69,191.16,-25.58,29.48
T2P,2018,1,nearest,3.61,5470.25,218.46,-29.0,36.3
T2P,2019,1,nearest,3.12,5560.03,128.45,-29.8,30.2
T2P,2020,1,nearest,4.03,5263.42,150.88,-31.3,30.8
T2P,2021,1,nearest,4.71,5131.98,281.76,-33.3,34.7
T2P,2022,1,nearest,4.49,5172.07,241.41,-33.7,31.0
T2P,2023,1,nearest,6.03,4657.39,286.53,-29.3,33.6
T2P,2024,1,nearest,4.66,5114.17,232.57,-39.3,32.9
T2P,2025,1,nearest,5.06,4906.71,182.7,-25.8,29.5
T2R,2018,1,contains,3.95,5355.97,228.36,-28.3,36.4
T2R,2019,1,contains,3.46,5446.15,138.44,-29.1,30.6
T2R,2020,1,contains,4.39,5148.2,166.43,-30.6,31.1
T2R,2021,1,contains,5.03,5029.71,296.63,-32.6,35.2
T2R,2022,1,contains,4.79,5073.11,252.72,-32.9,31.3
T2R,2023,1,contains,6.29,4572.52,299.04,-29.9,33.7
T2R,2024,1,contains,4.99,5003.78,243.23,-38.8,32.9
T2R,2025,1,contains,5.39,4800.95,197.18,-25.4,29.7
T2S,2018,1,contains,3.94,5358.71,227.85,-28.3,36.4
T2S,2019,1,contains,3.45,5448.95,138.35,-29.1,30.6
T2S,2020,1,contains,4.38,5150.28,166.36,-30.6,31.1
T2S,2021,1,contains,5.03,5031.23,296.42,-32.6,35.2
T2S,2022,1,contains,4.78,5076.05,252.3,-32.9,31.3
T2S,2023,1,contains,6.28,4575.67,298.53,-30.0,33.7
T2S,2024,1,contains,4.98,5006.48,242.82,-38.8,32.8
T2S,2025,1,contains,5.38,4803.46,196.83,-25.4,29.7
T2T,2018,2,contains,3.78,5406.49,217.62,-28.35,36.1
T2T,2019,2,contains,3.29,5500.11,131.82,-29.15,30.45
