Dependency=Type_Logement;Dependency=An_Construction;Option=1 ACH50;Option=2 ACH50;Option=3 ACH50;Option=4 ACH50;Option=5 ACH50;Option=6 ACH50;Option=7 ACH50;Option=8 ACH50;Option=10 ACH50;Option=15 ACH50;Option=20 ACH50;Option=25 ACH50;Option=30 ACH50;Option=40 ACH50;Option=50 ACH50
Duplex;< 1950;0.0;0.0;0.0191525423728814;0.028728813559322;0.0467796610169492;0.114915254237288;0.152118644067797;0.181949152542373;0.294661016949153;0.142542372881356;0.0095762711864406;0.0191525423728814;0.0;0;0
Duplex;[1950 - 1960);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Duplex;[1960 - 1970);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Duplex;[1970 - 1980);0.0;0.0;0.0;0.232941176470588;0.467647058823529;0.06;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0;0.0;0.0;0;0
Duplex;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Duplex;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Duplex;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Duplex;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Duplex;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Triplex;< 1950;0.0;0.0;0.0191525423728814;0.028728813559322;0.0467796610169492;0.114915254237288;0.152118644067797;0.181949152542373;0.294661016949153;0.142542372881356;0.0095762711864406;0.0191525423728814;0.0;0;0
Triplex;[1950 - 1960);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Triplex;[1960 - 1970);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Triplex;[1970 - 1980);0.0;0.0;0.0;0.232941176470588;0.467647058823529;0.06;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0;0.0;0.0;0;0
Triplex;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Triplex;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Triplex;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Triplex;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Triplex;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Collective;< 1950;0.0;0.0;0.0191525423728814;0.028728813559322;0.0467796610169492;0.114915254237288;0.152118644067797;0.181949152542373;0.294661016949153;0.142542372881356;0.0095762711864406;0.0191525423728814;0.0;0;0
Collective;[1950 - 1960);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Collective;[1960 - 1970);0.0096103896103896;0.0096103896103896;0.0480519480519481;0.105714285714286;0.0864935064935065;0.118571428571429;0.221038961038961;0.202077922077922;0.16038961038961;0.0384415584415584;0.0;0.0;0.0;0;0
Collective;[1970 - 1980);0.0;0.0;0.0;0.232941176470588;0.467647058823529;0.06;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0582352941176471;0.0;0.0;0.0;0;0
Collective;[1980 - 1990);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Collective;[1990 - 2000);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Collective;[2000 - 2010);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Collective;[2010 - 2020);0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Collective;>= 2020;0.202;0.064;0.264;0.27;0.136;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Maison individuelle;< 1950;0.0;0.0;0.0;0.0;0.02;0.16;0.09;0.21;0.35;0.12;0.05;0.0;0.0;0;0
Maison individuelle;[1950 - 1960);0.0;0.0;0.0;0.02;0.09;0.13;0.18;0.16;0.31;0.11;0.0;0.0;0.0;0;0
