Dependency=Type_Logement;Dependency=An_Construction;Option=QC_WoodStud-R14.5;Option=QC_WoodStud-R14;Option=QC_WoodStud-R17.2;Option=QC_WoodStud-R20.7;Option=QC_WoodStud-R24.5;Option=QC_WoodStud-R12.2;Option=QC_WoodStud-R12.6;Option=QC_WoodStud-R18.9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;source_count;source_weight;sampling_probability
Duplex;< 1950;0.062168587200546604;0.023950763650271118;0.3417457459505212;0.012433335369015154;0.03637141684997516;0.4865572768624711;0.016980383460697898;0.01979249065650179;;;;;;;;;;
Duplex;[1950 - 1960);0.04041245304652992;0.025344717210373208;0.22215051899965568;0.02831180709269189;0.013530593732070861;0.6463458433222572;0.011038033518501664;0.012866033077919585;;;;;;;;;;
Duplex;[1960 - 1970);0.03776960887028576;0.005099751724974665;0.20762259106833528;0.017050050487925305;0.012645736512323352;0.66994406262063;0.0378435627325112;0.01202463598301435;;;;;;;;;;
Duplex;[1970 - 1980);0.0;0.014591064342190155;0.03678812358077969;0.0;0.0;0.8943079223367125;0.0543128897403175;0.0;;;;;;;;;;
Duplex;[1980 - 1990);0.032311957930272805;0.021026970092518905;0.2308643006331978;0.0037248355239215404;0.00623579876257138;0.6528125785984478;0.04709403350730604;0.005929524951763825;;;;;;;;;;
Duplex;[1990 - 2000);0.08142554298860574;0.011423624891607996;0.6266357356986523;0.012452519015100598;0.006095335780945695;0.2239944401215055;0.013937981589038188;0.02403481991454405;;;;;;;;;;
Duplex;[2000 - 2010);0.06858687672320299;0.0038610688432540287;0.7751947006013693;0.03422826961478938;0.04980288248142972;0.030236863277911138;0.007591800192883838;0.03049753826515957;;;;;;;;;;
Duplex;[2010 - 2020);0.2589397095172362;0.005310908366084248;0.6082512346513335;0.01812251246747006;0.06053708603749558;0.001076720344946542;0.0;0.047761828615434;;;;;;;;;;
Duplex;>= 2020;0.051793442581085196;0.0;0.8269526002359733;0.009025677720420733;0.011868186357727495;0.0004656179832346876;0.0;0.09989447512155866;;;;;;;;;;
Triplex;< 1950;0.06715729598360368;0.024332872357006027;0.0;0.005885355657898537;0.026583371525136353;0.84504025010578;0.02279380094784885;0.008207053422726478;;;;;;;;;;
Triplex;[1950 - 1960);0.04853473214599971;0.04441754946500677;0.0;0.006000686781426963;0.027104306925370473;0.8423343686460076;0.023240474832250488;0.00836788120393806;;;;;;;;;;
Triplex;[1960 - 1970);0.049505426788919706;0.02530590045430691;0.0;0.006120700517055502;0.027646393063877884;0.8591810560189278;0.023705284328895498;0.00853523882801682;;;;;;;;;;
Triplex;[1970 - 1980);0.04760191138856997;0.02433287235700603;0.0;0.005885355657898538;0.026583371525136356;0.8457003781476377;0.041689057501025056;0.008207053422726478;;;;;;;;;;
Triplex;[1980 - 1990);0.030944303622472594;0.01581793184890606;0.0;0.003825859657559444;0.030007733148887317;0.8992516227547925;0.014817436457179789;0.005335112510202301;;;;;;;;;;
Triplex;[1990 - 2000);0.049505426788919706;0.02530590045430691;0.0;0.006120700517055502;0.027646393063877884;0.8591810560189278;0.023705284328895498;0.00853523882801682;;;;;;;;;;
Triplex;[2000 - 2010);0.049505426788919706;0.02530590045430691;0.0;0.006120700517055502;0.027646393063877884;0.8591810560189278;0.023705284328895498;0.00853523882801682;;;;;;;;;;
Triplex;[2010 - 2020);0.049505426788919706;0.02530590045430691;0.0;0.006120700517055502;0.027646393063877884;0.8591810560189278;0.023705284328895498;0.00853523882801682;;;;;;;;;;
