Dependency=Type_Logement;Dependency=An_Construction;Option=Double, Clear, Metal, Air;Option=Double, Clear, Non-metal, Air;Option=Double, Clear, Thermal-Break, Air;Option=Double, Low-E, L-Gain;Option=Double, Low-E, Non-metal, Air, L-Gain;Option=Double, Low-E, Non-metal, Air, M-Gain;Option=Single, Clear, Metal;Option=Single, Clear, Non-metal;Option=Triple, Low-E, Non-metal, Air, L-Gain
Duplex;< 1950;0.17617179848179504;0.563749755141744;0.0;0.0;0.07927730931680775;0.0;0.0;0.0790714774077852;0.10172965965186793
Duplex;[1950 - 1960);0.3121641214426579;0.431520991406027;0.0;0.0;0.09181297689489935;0.009181297689489937;0.05381081232548537;0.0;0.10150980024144043
Duplex;[1960 - 1970);0.29969709994814875;0.41428716757538203;0.0;0.0;0.08814620586710255;0.008814620586710255;0.09215983054026182;0.0;0.09689507548239466
Duplex;[1970 - 1980);0.20247562655272244;0.295276955389387;0.0;0.0;0.295276955389387;0.0;0.08176422276910944;0.08176422276910944;0.04344201713028466
Duplex;[1980 - 1990);0.0650496324224945;0.5575682779070956;0.0;0.0;0.18585609263569855;0.0650496324224945;0.03483850220498941;0.03483850220498941;0.056799360202238004
Duplex;[1990 - 2000);0.06687757495840527;0.573236356786331;0.0;0.0;0.1910787855954436;0.06687757495840527;0.010490619298578198;0.010490619298578198;0.08094846910425842
Duplex;[2000 - 2010);0.06553256151779724;0.5617076701525476;0.0;0.0;0.1872358900508492;0.06553256151779724;0.005624173002258786;0.005624173002258786;0.10874297075649098
Duplex;[2010 - 2020);0.0;0.726865072564783;0.0;0.0;0.0;0.0;0.0007547630999543502;0.0007547630999543502;0.2716254012353083
Duplex;>= 2020;0.0;0.7592825798587829;0.0;0.0;0.0;0.0;0.0028414218901162682;0.0028414218901162682;0.2350345763609846
Triplex;< 1950;0.18651812325293757;0.5968579944094001;0.0;0.0;0.08393315546382189;0.0;0.0;0.09099193067133976;0.041698796202500665
Triplex;[1950 - 1960);0.319439873951268;0.4415786492855763;0.0;0.0;0.09395290410331411;0.00939529041033141;0.09311734443393421;0.0;0.04251593781557599
Triplex;[1960 - 1970);0.32582867143029337;0.4504102222712878;0.0;0.0;0.0958319621853804;0.009583196218538039;0.0749796913226129;0.0;0.043366256571887515
Triplex;[1970 - 1980);0.22569563256708375;0.32913946416033046;0.0;0.0;0.32913946416033046;0.0;0.036754750648339655;0.036754750648339655;0.04251593781557599
Triplex;[1980 - 1990);0.06801161232898438;0.5829566771055805;0.0;0.0;0.1943188923685268;0.06801161232898438;0.02343373731226485;0.02343373731226485;0.039833731243394246
Triplex;[1990 - 2000);0.06565508898657978;0.5627579055992551;0.0;0.0;0.18758596853308504;0.06565508898657978;0.037489845661306455;0.037489845661306455;0.04336625657188752
Triplex;[2000 - 2010);0.06565508898657978;0.5627579055992551;0.0;0.0;0.18758596853308504;0.06565508898657978;0.037489845661306455;0.037489845661306455;0.04336625657188752
Triplex;[2010 - 2020);0.0;0.8816540521054996;0.0;0.0;0.0;0.0;0.03748984566130645;0.03748984566130645;0.043366256571887515
Triplex;>= 2020;0.0;0.7110477955546377;0.0;0.0;0.0;0.0;0.030235296996021448;0.030235296996021448;0.22848161045331944
Collective;< 1950;0.20603130268269118;0.6593001685846117;0.0;0.0;0.09271408620721103;0.0;0.0;0.0;0.041954442525486135
Collective;[1950 - 1960);0.3543643324183022;0.4898565771664764;0.0;0.0;0.1042248036524418;0.01042248036524418;0.0;0.0;0.04113180639753542
Collective;[1960 - 1970);0.3546566571293213;0.4902606730905323;0.0;0.0;0.10431078150862391;0.01043107815086239;0.0;0.0;0.040340810120660056
Collective;[1970 - 1980);0.2455809251633658;0.3581388491965751;0.0;0.0;0.3581388491965751;0.0;0.0;0.0;0.038141376443484046
Collective;[1980 - 1990);0.07146394817894088;0.6125481272480646;0.0;0.0;0.20418270908268824;0.07146394817894088;0.0;0.0;0.04034126731136547
Collective;[1990 - 2000);0.07232797760030828;0.6199540937169279;0.0;0.0;0.20665136457230937;0.07232797760030828;0.0;0.0;0.02873858651014613
Collective;[2000 - 2010);0.07146398222505726;0.6125484190719194;0.0;0.0;0.20418280635730648;0.07146398222505726;0.0;0.0;0.040340810120659744
Collective;[2010 - 2020);0.0;0.9323758690526995;0.0;0.0;0.0;0.0;0.0;0.0;0.06762413094730048
Collective;>= 2020;0.0;0.8577827880205664;0.0;0.0;0.0;0.0;0.0;0.0;0.14221721197943357
Maison individuelle;< 1950;0.06990615658868854;0.6391420030965808;0.0;0.009986593798384074;0.12982571937899298;0.0399463751935363;0.0;0.08282104116188906;0.028372110781928472
Maison individuelle;[1950 - 1960);0.11825501329425796;0.5912750664712896;0.0;0.02956375332356449;0.1281095977354461;0.039418337764752655;0.009934043380626553;0.029802130141879657;0.05364205788818292
Maison individuelle;[1960 - 1970);0.1180291553267194;0.5901457766335969;0.0;0.02950728883167985;0.12786491827061267;0.03934305177557313;0.008039585061849111;0.024118755185547333;0.06295146891442176
Maison individuelle;[1970 - 1980);0.05960241461238748;0.5463554672802188;0.0;0.00993373576873125;0.2284759226808187;0.04966867884365625;0.018122776858277106;0.018122776858277106;0.06971822709763331
